Months,Sale of Potato
1,542
2,675
3,692
4,833
5,1308
6,1650
7,2075
8,2229
9,2240
10,2442
11,2633
12,1300
13,856
14,707
15,700
16,883
17,1417
18,2142
19,2275
20,3140
21,3192
22,2242
23,2467
24,1310
25,950
26,917
27,1000
28,983
29,1700
30,2142
31,2567
32,3917
33,2725
34,2458
35,2483
36,1283
37,1054
38,1066
39,1098
40,1450
41,2700
42,2325
43,2734
44,2996
45,2670
46,2677
47,2370
48,1128
49,998
50,1011
51,1196
52,1632
53,1862
54,2006
55,2548
56,3036
57,2640
58,2632
59,2932
60,1592
61,1312
62,1270
63,1134
64,1280
65,1210
66,2093
67,3076
68,3279
69,3450
70,4341
71,5437
72,2465
73,2034
74,2489
75,3719
76,4934
77,4879
78,5333
79,5766
80,5665
81,5800
82,5646
83,5454
84,2453
85,1981
86,1535
87,1296
88,993
89,1090
90,2373
91,2513
92,2719
93,2846
94,3032
95,3039
96,2015
97,1194
98,1068
99,1063
100,1128
101,1415
102,2919
103,3406
104,3796
105,3708
106,3766
107,4338
108,1876
109,1602
110,1754
111,2018
112,2014
113,2889
114,3274
115,3840
116,3685
117,3259
118,3424
119,3827
120,2702
121,1818
122,1452
123,1198
124,1170
125,1884
126,2188
127,2904
128,2952
129,3060
130,3227
131,3037
132,1414
133,837
134,772
135,808
136,960
137,1480
138,1702
139,3835
140,3824
